"Source:","I:\PCB FILES\ampli tda\ampli tda\ampli tda.kicad_sch"
"Date:","19/03/2023 13:14:28"
"Tool:","Eeschema 7.0.1"
"Generator:","I:\Apps\Kicad 7.0.1\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","19"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","1uF/50V","C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","Polarized capacitor","",""
"C2","1","100uF/25V","C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Polarized capacitor","",""
"C3, C4","2","2.2nF","C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","Unpolarized capacitor","",""
"C5","1","1000uF/16V","C_Polarized","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","Polarized capacitor","",""
"C6","1","100nF","C","Capacitor_THT:C_Disc_D7.5mm_W2.5mm_P5.00mm","Unpolarized capacitor","",""
"HS1","1","Heatsink","Heatsink","Heatsink:Heatsink_Stonecold_HS-132_32x14mm_2xFixation1.5mm","Heatsink","",""
"J1","1","Barrel_Jack","Barrel_Jack","Connector_BarrelJack:BarrelJack_Horizontal","DC Barrel Jack","",""
"J2","1","Conn_01x03_Pin","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Generic connector, single row, 01x03, script generated","",""
"LS1","1","Speaker","Speaker","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","Speaker","",""
"R1, R2, R5","3","150","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor","",""
"R3","1","15K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor","",""
"R4","1","6K8","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor","",""
"R6","1","10","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor","",""
"R7","1","1.0","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor","",""
"RV1","1","A50K","R_Potentiometer","Potentiometer_THT:Potentiometer_Alps_RK163_Single_Horizontal","Potentiometer","",""
"U1","1","TDA2003","TDA2003","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical","10W Car Radio Audio Amplifier, TO-220-5","",""
